Name,Season,Yards,TD,INT,Score,Seasons
Kerry Collins,1995,-1718.5953569240567,-44.66988803188934,-1.8496652235056503,-171.57021346297023,17
Kerwin Bell,1996,41.597457096329705,0.8039584116247025,-0.16973568833771766,4.0272610547413255,1
Kevin Byard,2018,58.628204402693676,0.9520683605907985,-0.0237111651858978,4.882969271688077,1
Kevin Faulk,2001,-6.077466305430018,-0.15812082846273184,-0.12497320910728875,-0.3701685539823871,4
Kevin Hogan,2016,-91.11001308483236,-0.2949199226012038,4.566099688519479,-14.277539876482983,2
Kevin House,1981,-7.0325105782792665,-0.04167842031029619,-0.04294781382228491,-0.34908674188998595,1
Kevin Ingram,1987,-8.917722926395374,0.9094210955451782,-0.0800533689126084,1.5330627825958045,1
Kevin Johnson,1999,8.923376984159622,0.7238708402973462,0.7751808452507214,0.3435488393012309,4
Kevin Kolb,2008,-141.07855594282097,-4.1641357956868115,3.3295402247160517,-22.04127983794678,5
Kevin Lockett,2001,31.504285293293915,1.9206222766531225,-0.0642158294220297,5.5448904768150005,2
Kevin O'Connell,2008,-18.667433135665014,-0.23453951349388844,-0.16882488200411472,-1.0648009197627981,1
Kevin Sweeney,1987,-128.77176402381306,2.6628980975221,1.8268149327395815,-4.766421871625617,2
Kevin Thompson,2000,1.2526038475677002,-0.038843279009925256,-0.03253277784585223,0.05000919005023895,1
Kevin Turner,1993,-6.694186207853476,-0.03586790620230332,-0.03253781046205079,-0.3413695018731789,1
Keyshawn Johnson,1999,-34.499100192877236,-0.20785154918323956,1.839923278189921,-5.820504664390183,4
Ki-Jana Carter,1997,-6.6938775510204085,-0.03922690571555725,-0.030453302816453684,-0.35224108334922755,1
Kim Hammond,1968,-74.5131720572797,-1.5059310013329088,0.19129709414109963,-7.120114793812002,2
Kim McQuilken,1974,-660.076310968538,-7.277801906069342,15.181869773800095,-77.92315890816577,5
King Corcoran,1968,-15.401783502600942,-0.3277186029229626,1.6063908843200396,-4.638308149616051,1
King Hill,1958,-887.2202006992845,-9.871518071462402,21.7880934284698,-107.68023303482863,12
Kink Richards,1934,-1.1522909777987715,-0.0806820482304658,0.7628640136434184,-1.7447066726377072,2
Kirk Cousins,2012,1907.1122472336215,22.6577589768571,-0.4337018407118851,141.53853399681904,9
Klaus Wilmsmeyer,1995,11.228995748248398,-0.039702976226121324,-0.03066051859392778,0.5433648721480329,1
Kliff Kingsbury,2005,3.428449951409135,-0.0782312925170068,-0.061467444120505345,0.13789480077745386,1
Kordell Stewart,1995,-1168.6346059125979,-17.268632961578554,7.549855143158683,-108.06870650510436,9
Koy Detmer,1998,-476.71420594636277,-4.730994636138884,2.554671127444874,-38.40704182448566,8
Kurt Kittner,2003,-365.6384526768933,-2.5204632268235008,2.281331473958649,-27.885512035408965,1
Kurt Warner,1998,4470.022589171202,43.90129251125947,-0.07915743332008773,311.4620293477193,12
Kyle Allen,2018,-190.45909599344787,-4.498132327320112,3.0653384976858478,-24.649896449684316,3
Kyle Boller,2003,-1537.1040305273127,-15.6110965527738,6.114014785760052,-120.30542420343333,8
Kyle Lauletta,2018,-36.858977986531606,-0.2396581970460076,0.881444174070511,-4.085153641559618,1
Kyle Mackey,1987,-208.1600618542893,-2.9513361764535677,0.6624087328037819,-17.635492911229164,2
Kyle Orton,2005,-973.5535127659298,-12.804851475168839,-9.529045608469309,-55.22928737169556,9
